species,park,observations
Vicia benghalensis,Great Smoky Mountains National Park,68
Vicia benghalensis,Yosemite National Park,148
Vicia benghalensis,Bryce National Park,104
Vicia benghalensis,Yellowstone National Park,247
Neovison vison,Great Smoky Mountains National Park,77
Neovison vison,Yosemite National Park,200
Neovison vison,Bryce National Park,91
Neovison vison,Yellowstone National Park,218
Prunus subcordata,Great Smoky Mountains National Park,72
Prunus subcordata,Yosemite National Park,138
Prunus subcordata,Bryce National Park,91
Prunus subcordata,Yellowstone National Park,217
Abutilon theophrasti,Great Smoky Mountains National Park,85
Abutilon theophrasti,Yosemite National Park,138
Abutilon theophrasti,Bryce National Park,84
Abutilon theophrasti,Yellowstone National Park,262
Githopsis specularioides,Great Smoky Mountains National Park,85
Githopsis specularioides,Yosemite National Park,134
Githopsis specularioides,Bryce National Park,92
Githopsis specularioides,Yellowstone National Park,216
Elymus virginicus var. virginicus,Great Smoky Mountains National Park,80
Elymus virginicus var. virginicus,Yosemite National Park,112
Elymus virginicus var. virginicus,Bryce National Park,95
Elymus virginicus var. virginicus,Yellowstone National Park,264
Spizella pusilla,Great Smoky Mountains National Park,72
Spizella pusilla,Yosemite National Park,148
Spizella pusilla,Bryce National Park,92
Spizella pusilla,Yellowstone National Park,228
Elymus multisetus,Great Smoky Mountains National Park,39
Elymus multisetus,Yosemite National Park,137
Elymus multisetus,Bryce National Park,114
Elymus multisetus,Yellowstone National Park,256
Lysimachia quadrifolia,Great Smoky Mountains National Park,50
Lysimachia quadrifolia,Yosemite National Park,168
Lysimachia quadrifolia,Bryce National Park,119
Lysimachia quadrifolia,Yellowstone National Park,285
Diphyscium cumberlandianum,Great Smoky Mountains National Park,51
Diphyscium cumberlandianum,Yosemite National Park,123
Diphyscium cumberlandianum,Bryce National Park,93
Diphyscium cumberlandianum,Yellowstone National Park,250
Ludwigia peploides ssp. glabrescens,Great Smoky Mountains National Park,61
Ludwigia peploides ssp. glabrescens,Yosemite National Park,138
Ludwigia peploides ssp. glabrescens,Bryce National Park,103
Ludwigia peploides ssp. glabrescens,Yellowstone National Park,294
Cistothorus platensis,Great Smoky Mountains National Park,65
Cistothorus platensis,Yosemite National Park,186
Cistothorus platensis,Bryce National Park,114
Cistothorus platensis,Yellowstone National Park,266
Setaria viridis var. viridis,Great Smoky Mountains National Park,76
Setaria viridis var. viridis,Yosemite National Park,152
Setaria viridis var. viridis,Bryce National Park,101
Setaria viridis var. viridis,Yellowstone National Park,253
Arabis davidsonii,Great Smoky Mountains National Park,96
Arabis davidsonii,Yosemite National Park,109
Arabis davidsonii,Bryce National Park,103
Arabis davidsonii,Yellowstone National Park,279
Fabronia ciliaris,Great Smoky Mountains National Park,72
Fabronia ciliaris,Yosemite National Park,146
Fabronia ciliaris,Bryce National Park,111
Fabronia ciliaris,Yellowstone National Park,214
Lunaria annua,Great Smoky Mountains National Park,160
Lunaria annua,Yosemite National Park,276
Lunaria annua,Bryce National Park,189
Lunaria annua,Yellowstone National Park,460
Quercus bicolor,Great Smoky Mountains National Park,54
Quercus bicolor,Yosemite National Park,143
Quercus bicolor,Bryce National Park,96
Quercus bicolor,Yellowstone National Park,231
Muhlenbergia rigens,Great Smoky Mountains National Park,87
Muhlenbergia rigens,Yosemite National Park,165
Muhlenbergia rigens,Bryce National Park,106
Muhlenbergia rigens,Yellowstone National Park,239
Rubus idaeus ssp. strigosus,Great Smoky Mountains National Park,99
Rubus idaeus ssp. strigosus,Yosemite National Park,150
Rubus idaeus ssp. strigosus,Bryce National Park,45
Rubus idaeus ssp. strigosus,Yellowstone National Park,245
Polymnia canadensis,Great Smoky Mountains National Park,80
Polymnia canadensis,Yosemite National Park,148
Polymnia canadensis,Bryce National Park,81
Polymnia canadensis,Yellowstone National Park,249
Carduus nutans,Great Smoky Mountains National Park,66
Carduus nutans,Yosemite National Park,151
Carduus nutans,Bryce National Park,83
Carduus nutans,Yellowstone National Park,271
Ptilium crista-castrensis,Great Smoky Mountains National Park,109
Ptilium crista-castrensis,Yosemite National Park,112
Ptilium crista-castrensis,Bryce National Park,109
Ptilium crista-castrensis,Yellowstone National Park,232
Elodea nuttallii,Great Smoky Mountains National Park,167
Elodea nuttallii,Yosemite National Park,329
Elodea nuttallii,Bryce National Park,213
Elodea nuttallii,Yellowstone National Park,503
Larus philadelphia,Great Smoky Mountains National Park,61
Larus philadelphia,Yosemite National Park,167
Larus philadelphia,Bryce National Park,117
Larus philadelphia,Yellowstone National Park,285
Zizia trifoliata,Great Smoky Mountains National Park,80
Zizia trifoliata,Yosemite National Park,135
Zizia trifoliata,Bryce National Park,87
Zizia trifoliata,Yellowstone National Park,238
Amaranthus retroflexus,Great Smoky Mountains National Park,107
Amaranthus retroflexus,Yosemite National Park,269
Amaranthus retroflexus,Bryce National Park,181
Amaranthus retroflexus,Yellowstone National Park,478
Geranium thunbergii,Great Smoky Mountains National Park,70
Geranium thunbergii,Yosemite National Park,150
Geranium thunbergii,Bryce National Park,120
Geranium thunbergii,Yellowstone National Park,244
Scirpus cyperinus,Great Smoky Mountains National Park,150
Scirpus cyperinus,Yosemite National Park,337
Scirpus cyperinus,Bryce National Park,171
Scirpus cyperinus,Yellowstone National Park,506
Viola glabella,Great Smoky Mountains National Park,91
Viola glabella,Yosemite National Park,177
Viola glabella,Bryce National Park,84
Viola glabella,Yellowstone National Park,261
Scaphiopus holbrookii holbrookii,Great Smoky Mountains National Park,86
Scaphiopus holbrookii holbrookii,Yosemite National Park,177
Scaphiopus holbrookii holbrookii,Bryce National Park,104
Scaphiopus holbrookii holbrookii,Yellowstone National Park,236
Glyceria striata,Great Smoky Mountains National Park,143
Glyceria striata,Yosemite National Park,259
Glyceria striata,Bryce National Park,184
Glyceria striata,Yellowstone National Park,549
Veronica cusickii,Great Smoky Mountains National Park,77
Veronica cusickii,Yosemite National Park,128
Veronica cusickii,Bryce National Park,84
Veronica cusickii,Yellowstone National Park,250
Festuca filiformis,Great Smoky Mountains National Park,79
Festuca filiformis,Yosemite National Park,177
Festuca filiformis,Bryce National Park,68
Festuca filiformis,Yellowstone National Park,240
Rosa pinetorum,Great Smoky Mountains National Park,73
Rosa pinetorum,Yosemite National Park,129
Rosa pinetorum,Bryce National Park,96
Rosa pinetorum,Yellowstone National Park,252
Lysimachia nummularia,Great Smoky Mountains National Park,54
Lysimachia nummularia,Yosemite National Park,140
Lysimachia nummularia,Bryce National Park,71
Lysimachia nummularia,Yellowstone National Park,263
Sclerolinon digynum,Great Smoky Mountains National Park,73
Sclerolinon digynum,Yosemite National Park,164
Sclerolinon digynum,Bryce National Park,116
Sclerolinon digynum,Yellowstone National Park,240
Camissonia sierrae ssp. alticola,Great Smoky Mountains National Park,95
Camissonia sierrae ssp. alticola,Yosemite National Park,169
Camissonia sierrae ssp. alticola,Bryce National Park,84
Camissonia sierrae ssp. alticola,Yellowstone National Park,201
Festuca idahoensis,Great Smoky Mountains National Park,106
Festuca idahoensis,Yosemite National Park,164
Festuca idahoensis,Bryce National Park,102
Festuca idahoensis,Yellowstone National Park,239
Doellingeria infirma,Great Smoky Mountains National Park,68
Doellingeria infirma,Yosemite National Park,166
Doellingeria infirma,Bryce National Park,104
Doellingeria infirma,Yellowstone National Park,262
Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71
Viola macloskeyi ssp. pallens,Yosemite National Park,164
Viola macloskeyi ssp. pallens,Bryce National Park,107
Viola macloskeyi ssp. pallens,Yellowstone National Park,223
Cirsium arvense,Great Smoky Mountains National Park,173
Cirsium arvense,Yosemite National Park,319
Cirsium arvense,Bryce National Park,212
Cirsium arvense,Yellowstone National Park,490
Elaeagnus umbellata,Great Smoky Mountains National Park,85
Elaeagnus umbellata,Yosemite National Park,176
Elaeagnus umbellata,Bryce National Park,102
Elaeagnus umbellata,Yellowstone National Park,237
Cornus alternifolia,Great Smoky Mountains National Park,61
Cornus alternifolia,Yosemite National Park,148
Cornus alternifolia,Bryce National Park,122
Cornus alternifolia,Yellowstone National Park,237
Portulaca oleracea,Great Smoky Mountains National Park,169
Portulaca oleracea,Yosemite National Park,271
Portulaca oleracea,Bryce National Park,224
Portulaca oleracea,Yellowstone National Park,491
Solidago missouriensis var. missouriensis,Great Smoky Mountains National Park,101
Solidago missouriensis var. missouriensis,Yosemite National Park,122
Solidago missouriensis var. missouriensis,Bryce National Park,112
Solidago missouriensis var. missouriensis,Yellowstone National Park,244
Silene parryi,Great Smoky Mountains National Park,68
Silene parryi,Yosemite National Park,149
Silene parryi,Bryce National Park,114
Silene parryi,Yellowstone National Park,252
Itea virginica,Great Smoky Mountains National Park,99
Itea virginica,Yosemite National Park,157
Itea virginica,Bryce National Park,114
Itea virginica,Yellowstone National Park,235
Ammoselinum butleri,Great Smoky Mountains National Park,86
Ammoselinum butleri,Yosemite National Park,179
Ammoselinum butleri,Bryce National Park,112
Ammoselinum butleri,Yellowstone National Park,283
Platycladus orientalis,Great Smoky Mountains National Park,25
Platycladus orientalis,Yosemite National Park,110
Platycladus orientalis,Bryce National Park,55
Platycladus orientalis,Yellowstone National Park,274
Limnanthes alba ssp. versicolor,Great Smoky Mountains National Park,84
Limnanthes alba ssp. versicolor,Yosemite National Park,143
Limnanthes alba ssp. versicolor,Bryce National Park,108
Limnanthes alba ssp. versicolor,Yellowstone National Park,246
Panicum rigidulum var. pubescens,Great Smoky Mountains National Park,85
Panicum rigidulum var. pubescens,Yosemite National Park,158
Panicum rigidulum var. pubescens,Bryce National Park,83
Panicum rigidulum var. pubescens,Yellowstone National Park,226
Salix humilis var. humilis,Great Smoky Mountains National Park,64
Salix humilis var. humilis,Yosemite National Park,123
Salix humilis var. humilis,Bryce National Park,78
Salix humilis var. humilis,Yellowstone National Park,218
Hepatica nobilis,Great Smoky Mountains National Park,43
Hepatica nobilis,Yosemite National Park,127
Hepatica nobilis,Bryce National Park,121
Hepatica nobilis,Yellowstone National Park,281
Eriogonum nudum var. deductum,Great Smoky Mountains National Park,62
Eriogonum nudum var. deductum,Yosemite National Park,150
Eriogonum nudum var. deductum,Bryce National Park,88
Eriogonum nudum var. deductum,Yellowstone National Park,279
Penstemon procerus,Great Smoky Mountains National Park,67
Penstemon procerus,Yosemite National Park,121
Penstemon procerus,Bryce National Park,98
Penstemon procerus,Yellowstone National Park,215
Ericameria suffruticosa,Great Smoky Mountains National Park,38
Ericameria suffruticosa,Yosemite National Park,148
Ericameria suffruticosa,Bryce National Park,127
Ericameria suffruticosa,Yellowstone National Park,254
Chasmanthium latifolium,Great Smoky Mountains National Park,82
Chasmanthium latifolium,Yosemite National Park,152
Chasmanthium latifolium,Bryce National Park,133
Chasmanthium latifolium,Yellowstone National Park,249
Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80
Sparganium emersum ssp. emersum,Yosemite National Park,141
Sparganium emersum ssp. emersum,Bryce National Park,80
Sparganium emersum ssp. emersum,Yellowstone National Park,290
Ribes rotundifolium,Great Smoky Mountains National Park,54
Ribes rotundifolium,Yosemite National Park,147
Ribes rotundifolium,Bryce National Park,90
Ribes rotundifolium,Yellowstone National Park,237
Pachysandra procumbens,Great Smoky Mountains National Park,68
Pachysandra procumbens,Yosemite National Park,118
Pachysandra procumbens,Bryce National Park,98
Pachysandra procumbens,Yellowstone National Park,213
Helianthus annuus,Great Smoky Mountains National Park,98
Helianthus annuus,Yosemite National Park,292
Helianthus annuus,Bryce National Park,258
Helianthus annuus,Yellowstone National Park,500
Blarina brevicauda,Great Smoky Mountains National Park,86
Blarina brevicauda,Yosemite National Park,185
Blarina brevicauda,Bryce National Park,77
Blarina brevicauda,Yellowstone National Park,244
Polygonum viviparum,Great Smoky Mountains National Park,107
Polygonum viviparum,Yosemite National Park,137
Polygonum viviparum,Bryce National Park,88
Polygonum viviparum,Yellowstone National Park,216
Astragalus purshii var. purshii,Great Smoky Mountains National Park,95
Astragalus purshii var. purshii,Yosemite National Park,156
Astragalus purshii var. purshii,Bryce National Park,115
Astragalus purshii var. purshii,Yellowstone National Park,235
Orthocarpus luteus,Great Smoky Mountains National Park,47
Orthocarpus luteus,Yosemite National Park,150
Orthocarpus luteus,Bryce National Park,78
Orthocarpus luteus,Yellowstone National Park,234
Liparis loeselii,Great Smoky Mountains National Park,68
Liparis loeselii,Yosemite National Park,157
Liparis loeselii,Bryce National Park,112
Liparis loeselii,Yellowstone National Park,249
Cornus canadensis,Great Smoky Mountains National Park,98
Cornus canadensis,Yosemite National Park,130
Cornus canadensis,Bryce National Park,89
Cornus canadensis,Yellowstone National Park,233
Arctostaphylos uva-ursi,Great Smoky Mountains National Park,53
Arctostaphylos uva-ursi,Yosemite National Park,154
Arctostaphylos uva-ursi,Bryce National Park,123
Arctostaphylos uva-ursi,Yellowstone National Park,237
Isatis tinctoria,Great Smoky Mountains National Park,64
Isatis tinctoria,Yosemite National Park,127
Isatis tinctoria,Bryce National Park,120
Isatis tinctoria,Yellowstone National Park,270
Eschscholzia hypecoides,Great Smoky Mountains National Park,48
Eschscholzia hypecoides,Yosemite National Park,141
Eschscholzia hypecoides,Bryce National Park,106
Eschscholzia hypecoides,Yellowstone National Park,245
Tofieldia glabra,Great Smoky Mountains National Park,75
Tofieldia glabra,Yosemite National Park,138
Tofieldia glabra,Bryce National Park,70
Tofieldia glabra,Yellowstone National Park,220
Odocoileus virginianus,Great Smoky Mountains National Park,109
Odocoileus virginianus,Yosemite National Park,285
Odocoileus virginianus,Bryce National Park,183
Odocoileus virginianus,Yellowstone National Park,484
Galium pilosum var. puncticulosum,Great Smoky Mountains National Park,112
Galium pilosum var. puncticulosum,Yosemite National Park,137
Galium pilosum var. puncticulosum,Bryce National Park,137
Galium pilosum var. puncticulosum,Yellowstone National Park,252
Physaria didymocarpa var. didymocarpa,Great Smoky Mountains National Park,94
Physaria didymocarpa var. didymocarpa,Yosemite National Park,143
Physaria didymocarpa var. didymocarpa,Bryce National Park,64
Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244
Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63
Thamnophis sirtalis sirtalis,Yosemite National Park,151
Thamnophis sirtalis sirtalis,Bryce National Park,108
Thamnophis sirtalis sirtalis,Yellowstone National Park,260
Krigia montana,Great Smoky Mountains National Park,41
Krigia montana,Yosemite National Park,132
Krigia montana,Bryce National Park,103
Krigia montana,Yellowstone National Park,214
Puma concolor,Great Smoky Mountains National Park,239
